Grade,Subject,Hours per week,Teach Work Load,Teacher,Class Teacher,Full Time,Classroom,MonStart,Mon Duration,MonEnd,TueStart,Tue Duration,TueEnd,WedStart,Wed Duration,WedEnd,ThuStart,Thu Duration,ThuEnd,FriStart,Fri Duration,FriEnd
Grade 6,Geography,1:00,1:00,Teacher M,Grade 6,Yes,Grade 6,13:30,1:00,14:30,,,0:00,,,0:00,,,0:00,,,0:00
Grade 6,History,0:30,0:30,Teacher M,Grade 6,Yes,Grade 6,,,0:00,,,0:00,12:00,0:30,12:30,,,0:00,,,0:00
Grade 6,History,1:00,1:00,Teacher M,Grade 6,Yes,Grade 6,,,0:00,,,0:00,13:30,1:00,14:30,,,0:00,,,0:00
Grade 6,LO,1:00,1:00,Teacher M,Grade 6,Yes,Grade 6,,,0:00,,,0:00,,,0:00,,,0:00,8:30,1:00,9:30
Grade 6,LO,0:30,0:30,Teacher M,Grade 6,Yes,Grade 6,,,0:00,,,,,,,14:00,0:30,14:30,,,0:00
Grade 6,Maths,5:30,5:00,Teacher R,Principal,Yes,Grade 6,8:30,1:00,9:30,8:30,1:00,9:30,7:30,1:00,8:30,9:30,1:00,10:30,11:00,1:30,12:30
Grade 6,Nat Science,2:00,2:00,Teacher M,Grade 6,Yes,Grade 6,,,0:00,11:00,1:30,12:30,,,0:00,13:30,0:30,14:00,,,0:00
Grade 6,Sport,4:00,3:00,Teacher J,Sport,Yes,Sports Field,12:30,1:00,13:30,12:30,1:00,13:30,12:30,1:00,13:30,12:30,1:00,13:30,,,0:00
Grade 7,Afrikaans,4:00,4:00,Teacher M,Grade 6,Yes,Grade 7,11:00,1:00,12:00,9:30,1:00,10:30,7:30,1:00,8:30,9:30,1:00,10:30,,,0:00
Grade 7,Art,1:30,1:30,Teacher L,Grade 1,Yes,Grade 7,,,0:00,,,0:00,,,0:00,11:00,1:00,12:00,,,0:00
Grade 7,Break,2:30,2:30,Teacher F,Free,Yes,Playground,,,0:00,,,0:00,,,0:00,,,0:00,12:30,1:30,14:00
Grade 7,Computers,2:00,2:00,Teacher L,Grade 5,Yes,Grade 0,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00
Grade 7,D&T,3:30,3:30,Teacher L,Grade 5,Yes,Grade 0,8:30,1:00,9:30,,,0:00,8:30,1:00,9:30,,,0:00,,,0:00
Grade 7,EMS,1:00,1:00,Teacher N,Grade 7,Yes,Grade 7,,,0:00,,,0:00,,,0:00,11:00,1:30,12:30,8:30,2:00,10:30
Grade 7,English,5:00,5:00,Teacher N,Grade 7,Yes,Grade 7,,,0:00,,,0:00,13:30,1:00,14:30,,,0:00,,,0:00
Grade 7,Geography,1:30,1:30,Teacher N,Grade 7,Yes,Grade 7,7:30,1:00,8:30,8:30,1:00,9:30,11:00,1:00,12:00,7:30,1:00,8:30,11:00,1:00,12:00
Grade 7,History,1:00,1:00,Teacher N,Grade 7,Yes,Grade 7,12:00,0:30,12:30,12:00,0:30,12:30,12:00,0:30,12:30,,,0:00,,,0:00
Grade 7,LO,2:00,1:30,Teacher M,Grade 6,Yes,Grade 7,,,0:00,,,0:00,,,0:00,13:30,1:00,14:30,,,0:00
Grade 7,Maths,5:00,5:00,Teacher R,Principal,Yes,Grade 7,,,0:00,13:30,1:00,14:30,,,0:00,12:00,0:30,12:30,12:00,0:30,12:30
Grade 7,Nat Science,2:00,2:00,Teacher N,Grade 7,Yes,Grade 7,9:30,1:00,10:30,7:30,1:00,8:30,9:30,1:00,10:30,8:30,1:00,9:30,7:30,1:00,8:30
Grade 7,Sport,4:00,3:00,Jaji,Sport,Yes,Sports Field,13:30,1:00,14:30,11:00,1:00,12:00,,,0:00,,,0:00,,,0:00
